CI Name,Criticality ,SOX Critical,App Type,Function Details,Application,Usage,Hosting and Delivery Model,Architecture,Application Package,Brand,Primary Location,Primary Location Presence,CI Collection,Service,User BU,BU Count,CAO,FIN,GOV,GSMB,HR,IT,MLP,MRKTG,OEFC,R&D,SALES,SVCS,Shared across multiple BUs,Past 12 month Tickets Total,User Interactions,System Incidents,Changes,Interfaces,Servers,Databases,Version
Avaya One Warehouse,Silver,No,APPLICATION SHARED SERVICES,One stop solution for reporting,AVAYA-ONE-WAREHOUSE-PROD,0,0,0,0,Oracle,,,AVAYA-ONE-WAREHOUSE,AVAYA-ONE-WAREHOUSE-SERVICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,36,14,0,22,23,20,1,#N/A
Avaya Transfer Program,Bronze,No,HR,Occupational Resource Utilization application,ATP-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,,,ATP,AVAYA TRANSFER PLATFORM (ATP)-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,4,1,0,3,2,2,1,0
Barcode Labelprint,Silver,No,GABG,Shipment barcode label print,LABELPRINT-PROD,Printing,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Commercially Available,Teklynx,EMEA DC1,EMEA DC1 (100%),LABELPRINT,LABEL PRINT,GSMB,1,0,0,0,1,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,1,2,0,0
Biztalk,Silver,No,SUPPLY CHAIN,Integration between Nortel & External BP,BIZTALK-ENT-PROD,Middleware,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Microsoft,US1,US1 (93%),BIZTALK-ENT,BIZTALK-ENT-SERVICE,MLP;#OEFC;#SALES;#SVCS,4,0,0,0,0,0,0,1,0,1,0,1,1,Shared Apps,40,2,0,38,10,9,1,2004
BOXI Reporting,Silver,No,APPLICATION SHARED SERVICES,"Reporting Mechanism for GDW Supply Chain, SBA, Clarify and S",BOXI-ENT-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP Business Objects XI [BOXI],US1,US1 (100%),BOXI-ENT,BOXI-ENT-SERVICE,SALES;#SVCS,2,0,0,0,0,0,0,0,0,0,0,1,1,Shared Apps,3,3,0,0,1,6,1,3.1
BPCC,Gold,No,SALES,Access by BPs to see the work (PROJECTS) having been request,BPCC-PROD,Project Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,SAUCON,US1,US1 (100%),BPCC,BPCC-SERVICE,SALES,1,0,0,0,0,0,0,0,0,0,0,1,0,Dedicated Apps,2,1,0,1,1,3,1,0
Brazil Warehouse Information System,Silver,No,SUPPLY CHAIN,Brazil Warehouse Management System,WIS-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Sydeco,Barueri,,WIS,BRAZIL WIS,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,1,0,0,1,0,1,1,10
Business Objects Reporting,Bronze,No,SAP/ERP,Create reports from EDW system,SAP-BOP,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SAP,US1,US1 (100%),SAP-BO,SAP-BO-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,1,0,0,1,1,8,1,4.1
Cadency,Bronze,Yes,FINANCE,SOX control database,CADENCY-PROD,0,0,0,0,Trintech,,,CADENCY,CADENCY-SERVICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,4,1,0,3,1,0,0,#N/A
CareViews Portal,Silver,No,SUPPLY CHAIN,Web Portal,CAREVIEWS-PROD,Business Intelligence/Reporting,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,Avaya,US1,US1 (100%),CAREVIEWS,CAREVIEWS PORTAL,OEFC,1,0,0,0,0,0,0,0,0,1,0,0,0,Dedicated Apps,49,31,1,17,3,5,1,0
Clarify Clear Contracts,Silver,Yes,SERVICES,Manages Customer Entitlements,CCC-ENT-PROD,Customer Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Amdocs,US1,US1 (100%),CCC-ENT,CCC-ENT-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,115,100,1,14,3,7,1,1.05
Cloud Customer Business-Intergration Service,Silver,Yes,APPLICATION SHARED SERVICES,Boomi Middleware Production Environment,BOOMI-PROD,Middleware,External/Insourced,Other (SaaS etc..),Commercially Available,Dell,,,BOOMI,BOOMI-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,38,0,0,38,0,0,0,#N/A
Cognos,Silver,No,APPLICATION SHARED SERVICES,Reporting Application,COGNOS-PROD,Business Intelligence/Reporting,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Cognos,US1,US1 (100%),COGNOS,COGNOS-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,60,58,1,1,2,23,2,8.4
Cognos Impromptu Reporting,Bronze,No,FINANCE,Reporting Design tool for Costpoint,DELTEK-IMPROMPTU-RPT-PROD,0,0,0,0,Cognos,US1,,DELTEK-IMPROMPTU-RPT,DELTEK-IMPROMPTU-RPT-SERVICE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,3,0,#N/A
Common Input Interface,Silver,No,FINANCE,Non-SAP Tax,CII-PROD,Accounting/Finance/Treasury,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,Avaya,US1,US1 (100%),CII,COMMON INPUT INTERFACE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,2,2,0,0,3,1,0,0
Common Output Interface,Silver,No,FINANCE,Generate tax check req to treasury,COI-PROD,Accounting/Finance/Treasury,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Home-grown,Avaya,US1,US1 (100%),COI,COMMON OUTPUT INTERFACE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,1,2,0,0
Condition Sheets,Silver,No,HR,Sales commission schedule for STC,CONDITION-SHEETS-PROD,Payroll,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),CONDITION-SHEETS,CONDITION SHEETS,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,0,1,1,0
Connect Direct,Silver,No,APPLICATION SHARED SERVICES,Connectivity Software,CONNECTDIRECT-PROD,Middleware,Internal/Insourced,Appliance based,Commercially Available,Avaya,COPPELL,COPPELL (100%),CONNECTDIRECT,CONNECT DIRECT,IT;#R&D;#SVCS,3,0,0,0,0,0,1,0,0,0,1,0,1,Shared Apps,1,1,0,0,1,1,0,0
Consolidated Productivity Tool,Silver,No,SALES,Tracking of Orders,CPT-ENT-PROD,Order Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,Microsoft,US1,US1 (100%),CPT-ENT,CPT-ENT-SERVICE,SALES;#OEFC,2,0,0,0,0,0,0,0,0,1,0,1,0,Shared Apps,7,5,0,2,2,2,0,1.1
Coupa,Silver,Yes,SUPPLY CHAIN,,COUPA-PROD,Procurement,Software As a Service (SaaS),Other (SaaS etc..),Hybrid,Coupa,,,COUPA,COUPA-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,289,287,1,1,17,0,0,#N/A
CPI Trademark Web System,Bronze,No,LEGAL,Identification of Trademarks & Use,CPITRADEMARKS-PROD,Business Intelligence/Reporting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,CPi,US1,US1 (100%),CPITRADEMARKS,CPITRADEMARKS-SERVICE,CAO,1,1,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,4,1,9
Currency Feed for SAP,Silver,No,FINANCE,Exchange Rates feed for Nbox from Bloomberg,CURRENCY-FEED-PROD,Accounting/Finance/Treasury,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,AVAYA,,,CURRENCY-FEED,CURRENCY-FEED-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,7,1,0,6,5,3,1,0
Data Science Lab,Silver,No,SALES/MARKETING,Big Data and Statistical Analytics Lab,DATA-SCIENCE-LAB-PROD,Business Intelligence/Reporting,Internal/Insourced,Other (SaaS etc..),Commercially Available,0,US1,US1 (100%),DATA-SCIENCE-LAB,DATA-SCIENCE-LAB-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,3,0,#N/A
DDM Voyager,Gold,No,SALES,Indirect channel tracking and comp,DDMVOYAGER-PROD,Payroll,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,SAUCON,US1,US1 (100%),DDMVOYAGER,DDMVOYAGER-SERVICE,SALES,1,0,0,0,0,0,0,0,0,0,0,1,0,Dedicated Apps,1,1,0,0,3,8,1,0
Deltek Cost Point,Silver,Yes,FINANCE,Accounting and Project Mgmt for Avaya Fed Contracts,DELTEK-COSTPOINT-PROD,Accounting/Finance/Treasury,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Deltek,US1,US1 (100%),DELTEK-COSTPOINT,AVA-COSTPOINT,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,7,7,0,0,1,4,1,6
Deltek Time and Expense,Silver,No,FINANCE,Time Keeping for Compliance with Avaya Fed Contracts,DELTEK-TIME-EXPENSE-PROD,Payroll,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Deltek,,,DELTEK-TIME-EXPENSE,DELTEK-TIME-EXPENSE-SERVICE,GOV,1,0,0,1,0,0,0,0,0,0,0,0,0,Dedicated Apps,5,4,0,1,0,3,0,#N/A
Document Tracking and Reporting,Bronze,No,APPLICATION SHARED SERVICES,Monitoring Utility - Document Tracking,DTR-ENT-PROD,Administer/Manage/Monitor Systems,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,Microsoft,US1,US1 (100%),DTR-ENT,DTR-ENT-SERVICE,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,1,1,0,0,2,4,1,1.1
Docuware,Bronze,No,FINANCE,Archive System,DOCUWARE-PROD,Administer/Manage/Monitor Systems,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Docuware,,,DOCUWARE,DOCUWARE-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,1,1,1,0
DST EDI Conversion,Bronze,No,SUPPLY CHAIN,SAP -> EDI conversion for DST,DST-PROD,Middleware,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,DST OUTPUT,US1,US1 (100%),DST,DST-DB-SERVICE,IT;#MLP,2,0,0,0,0,0,1,1,0,0,0,0,0,Shared Apps,6,5,1,0,1,3,1,10
EASY-TRANSFER-PRICE-FINANCIAL-BRAZIL,Bronze,No,FINANCE,Statutory - Margin Calculation,EASY-TRANSFER-PRICE-FINANCIAL-BRAZIL-PROD,Accounting/Finance/Treasury,Internal/Insourced,Desktop based,Commercially Available,Avaya,US1,US1 (100%),EASY-TRANSFER-PRICE-FINANCIAL-BRAZIL,BRAZIL TRANSFER PRICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,0,2,1,1
EDI-GIS-PROD,Silver,Yes,SUPPLY CHAIN,EDI traffic gatekeeper for Sterling,EDI-GIS-PROD,Middleware,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Sterling Commerce,,,EDI-GIS,EDI STERLING,MLP;#OEFC;#SALES;#SVCS,4,0,0,0,0,0,0,1,0,1,0,1,1,Shared Apps,23,22,1,0,2,2,1,#N/A
Engage Human Resources,Silver,No,,Open and track HR employee service tickets,ENGAGE-HR-PROD,Ticketing,External/Outsourced,Other (SaaS etc..),Commercially Available,SAP-NGA,,,ENGAGE-HR,ENGAGE-HR-SERVICE,HR;#CAO;#FIN;#GOV;#GSMB;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,16,14,0,2,0,0,0,#N/A
eProject Management Tool,Gold,No,SALES,project management tool,EPROJECT-PROD,Project Management,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,SAUCON,,,EPROJECT,EPROJECT-SERVICE,SALES;#SVCS;#OEFC;#FIN,4,0,1,0,0,0,0,0,0,1,0,1,1,Shared Apps,152,121,2,29,11,11,1,0
E-Supply,Silver,No,SUPPLY CHAIN,"Supply Chain, Supplier & Associate Self-",ESUPPLY-PROD,Customer Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,SAP,US1,US1 (100%),ESUPPLY,E-SUPPLY,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,3,3,0,0,1,3,0,0
ETIME,Bronze,No,HR,Reporting app to replace NetTime for use by US/Canadian user,ETIME-PROD,Transactional,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,ADP,US1,US1 (100%),ETIME,ETIME-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,156,155,1,0,4,0,0,638
eXtensible Browser Based Platform,Silver,No,SALES,US Fed Govt pricing,XBBP-PROD,Quoting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,Strata Solutions,US1,,XBBP,XBBP-SERVICE,SALES,1,0,0,0,0,0,0,0,0,0,0,1,0,Dedicated Apps,7,6,0,1,1,6,1,0
Fast Tenovis Application,Bronze,No,GABG,Integrates Tenovis apps with R/3 System,FAST-TENOVIS-PROD,Middleware,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),FAST-TENOVIS,FAST AVAYA SARBANES-OXLEY TENOVIS (FAST),GSMB,1,0,0,0,1,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,2,1,0,0
Field Glass Vendor Mgmt,Bronze,No,SUPPLY CHAIN,Field Glass Vendor Mgmt,FIELDGLASS-PROD,Resource Management,External/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,Field Glass,,,FIELDGLASS,FIELDGLASS-SERVICE,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,3,0,0,10
File Mover,Bronze,No,APPLICATION SHARED SERVICES,File transfer w/scheduler function,FILEMOVER-PROD,Middleware,Internal/Insourced,1-Tier (App Svrs - Requires a client to access the app),Home-grown,AVAYA,US1,US1 (100%),FILEMOVER,FILEMOVER-SERVICE,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,3,5,0,1
Fusion Middleware,Gold,Yes,APPLICATION SHARED SERVICES,mw code for new/ex apps,FMWPRODUCTION,Middleware,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Oracle,,,FMW,FMW-SERVICE,CAO;#FIN;#GOV;#GSMB;#HR;#IT;#MLP;#MRKTG;#OEFC;#R&D;#SALES;#SVCS,12,1,1,1,1,1,1,1,1,1,1,1,1,Shared Apps,36,8,1,27,1,0,0,11.2
Garant,Bronze,No,LEGAL,Russian legal information system,GARANT-PROD,Accounting/Finance/Treasury,External/Outsourced,Other (SaaS etc..),Commercially Available,Garant,MOSCOW,MOSCOW (100%),GARANT,GARANT-SERVICE,CAO,1,1,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,1,1,0,0
Get Paid,Silver,No,SUPPLY CHAIN,Receivables and Collection Management,GETPAID-PROD,Billing/Invoicing,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,SunGard,US1,US1 (100%),GETPAID,GETPAID-SERVICE,OEFC,1,0,0,0,0,0,0,0,0,1,0,0,0,Dedicated Apps,84,63,4,17,14,6,1,8
GFI Application,Bronze,No,FINANCE,Post accounting documents from SAP-PE2 to I2P,GFIWLIAPP-PROD,Middleware,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,BEA,US1,US1 (100%),GFIWLIAPP,GERMAN FINANCIAL INTERFACE DASHBOARD (GFI),FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,0,0,1,3,5,1,0
Global Data Warehouse,Silver,No,FINANCE,Warehouse that facilitates reporting from BOXI for Supply Channel,GDW-MARTS-ENT-PROD,Business Intelligence/Reporting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,Oracle,US1,US1 (100%),GDW-MARTS-ENT,GDW-MARTS-ENT-SERVICE,MLP,1,0,0,0,0,0,0,1,0,0,0,0,0,Dedicated Apps,3,2,0,1,0,2,0,9.2
Global Data Warehouse Interim Data Marts,Silver,No,SUPPLY CHAIN,Manages the supply chain operations,GDW-IDM-ENT-PROD,Business Intelligence/Reporting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Home-grown,Oracle,US1,US1 (100%),GDW-IDM-ENT,GDW-IDM-ENT-SERVICE,MLP;#OEFC,2,0,0,0,0,0,0,1,0,1,0,0,0,Shared Apps,0,0,0,0,1,1,0,9.2
Global Headcount and Budget Tracking Tool,Bronze,No,SERVICES,GSD Personnel Budget Planning,GHBT-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (75%),GHBT,GHBT-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,0,0,0,0,1,4,1,0
Global Sales Compensation Prod Instance,Gold,No,SALES,Global Sales Compensation,GLOBALSALESCOMP-PROD,Payroll,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Callidus,US1,US1 (100%),GLOBALSALESCOMP,SALES COMPENSATION SYSTEM,SALES,1,0,0,0,0,0,0,0,0,0,0,1,0,Dedicated Apps,10,8,0,2,14,6,2,11.2
HR IT Job Library,Bronze,No,HR,Avaya job library with codes.,JOB-LIBRARY-PROD,Web Portal,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),JOB-LIBRARY,JOB LIBRARY,HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,3,1,0,2,0,2,1,0
Hyperion Essbase,Silver,Yes,FINANCE,Financial Data Reporting Tool (non-IT),HYPERION-ESSBASE-PROD,Business Intelligence/Reporting,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,Hyperion,US1,US1 (100%),HYPERION-ESSBASE,ESSBASE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,106,101,3,2,3,3,1,11.12
Hyperion Financial Management,Silver,Yes,FINANCE,Financial Consolidation Tool,HFM-PROD,Business Intelligence/Reporting,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Home-grown,Oracle,US1,US1 (100%),HFM,HFM-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,0,0,0,0,1,5,1,11.12
IDA Document Management System,Silver,No,SUPPLY CHAIN,Document Management System,IDA-ENT-PROD,Document/File repository,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Hybrid,OPTIX,US1,US1 (100%),IDA-ENT,IDA-ENT-SERVICE,MLP;#OEFC,2,0,0,0,0,0,0,1,0,1,0,0,0,Shared Apps,19,18,0,1,1,1,1,7.1
I-Inquire,Silver,No,FINANCE,Tool for querying invoice/payment status,I-INQUIRE-ENT-PROD,Business Intelligence/Reporting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,FirstStrike,US1,US1 (100%),I-INQUIRE-ENT,I-INQUIRE-ENT-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,3,1,1,1,1,4,1,0
Informatica On Demand,Silver,No,APPLICATION SHARED SERVICES,,IOD-PROD,Business Intelligence/Reporting,External/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,Informatica,US1,US1 (100%),IOD,IOD-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,6,0,0,6,1,5,1,2014
IP Lifecycle Management,Silver,No,LEGAL,Logs patents and trademarks,CPA-MEMOTECH-PROD,Business Intelligence/Reporting,Internal/Outsourced,3-Tier (Web/App/DB Svrs),Commercially Available,CPA Software Solutions,,,CPA-MEMOTECH,CPA-MEMOTECH-SERVICE,CAO,1,1,0,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,4,1,0,3,2,2,1,0
IP Office Knowledge Base,Bronze,No,SALES,Pre-sales information on IPO,KNOWLEDGE-BASE-PROD,Product Development,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),KNOWLEDGE-BASE,KNOWLEDGE BASE FOR IP OFFICE,R&D,1,0,0,0,0,0,0,0,0,0,1,0,0,Dedicated Apps,16,13,0,3,3,1,0,0
IS3E Enterprise Application,Silver,Yes,SERVICES,IS3 Enterprise Management System,IS3E-PROD,Middleware,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,COPPELL,COPPELL (100%),IS3E,IS3E-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,46,19,0,27,1,2,1,0
IXOS Content Management,Bronze,No,SAP/ERP,Enterprise Content Management software,IXOS-ENT-PROD,Enterprise Content Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,OpenText,US1,US1 (100%),IXOS-ENT,IXOS-ENT-SERVICE,SVCS,1,0,0,0,0,0,0,0,0,0,0,0,1,Dedicated Apps,1,1,0,0,0,1,0,0
Leave of Absence System,Bronze,No,HR,Statutory Leave Absence,LAS-LEAVE-ABSENSE-PROD,Resource Management,Internal/Insourced,3-Tier (Web/App/DB Svrs),Home-grown,Avaya,US1,US1 (100%),LAS-LEAVE-ABSENSE,LEAVE ABSENCE SYSTEM (LAS),HR,1,0,0,0,0,1,0,0,0,0,0,0,0,Dedicated Apps,166,163,2,1,2,2,1,1
Liram,Bronze,No,FINANCE,Statutory Fixed Asset Reporting to Israel Tax Authorities,LIRAM-PROD,Accounting/Finance/Treasury,Internal/Insourced,2-Tier (App Svrs + DB Svrs - Requires a client to access the app),Commercially Available,Liram financial systems,,,LIRAM,LIRAM-SERVICE,FIN,1,0,1,0,0,0,0,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,1,1,1,#N/A
List Service Mass Mail,Silver,No,HR,LISTSERV Mass Mail,APP-LISTSERV-PROD,Communications/Collaboration,Internal/Insourced,3-Tier (Web/App/DB Svrs),Commercially Available,L-Soft,US1,US1 (100%),APP-LISTSERV,LISTSERV,IT,1,0,0,0,0,0,1,0,0,0,0,0,0,Dedicated Apps,1,1,0,0,2,1,0,6
